caption_id,image_id,caption,image_path,url
0,10717,"A traditional wooden kitchen with a black water boiler, a black oven, a plant and a window.",training/k/kitchen/ADE_train_00010717.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010717.jpg
1,32,"A well-lit bathroom with a nice sea view, with wooden furniture and a white bathtub.",training/b/bathroom/ADE_train_00000032.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000032.jpg
2,5510,"A children bedroom with a bed, a white alarm clock and a lamp with metallic color.",training/c/childs_room/ADE_train_00005510.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/childs_room/ADE_train_00005510.jpg
3,10719,A well-equipped white kitchen with a quadratic wooden table with 3 stools under a  luster.,training/k/kitchen/ADE_train_00010719.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010719.jpg
4,634,"A large kitchen with a window, equipped with a gas stove and a metal sink.",training/k/kitchen/ADE_train_00000634.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00000634.jpg
5,11301,"A large living-room with a chimney, 3 paintings and walls painted in yellow.",training/l/living_room/ADE_train_00011301.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011301.jpg
6,4218,This is a clean hotel bedroom with a blue carpeted floor and a couch of the same color.,training/b/bedroom/ADE_train_00004218.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004218.jpg
7,10754,,training/k/kitchenette/ADE_train_00010754.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchenette/ADE_train_00010754.jpg
8,14981,,training/p/pantry/ADE_train_00014981.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/pantry/ADE_train_00014981.jpg
9,1913,,training/a/attic/ADE_train_00001913.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/a/attic/ADE_train_00001913.jpg
10,101485,,validation/k/kitchen/ADE_val_00001485.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/k/kitchen/ADE_val_00001485.jpg
11,9,,training/b/bathroom/ADE_train_00000009.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000009.jpg
12,8394,,training/g/game_room/ADE_train_00008394.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/game_room/ADE_train_00008394.jpg
13,2711,,training/b/bathroom/ADE_train_00002711.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002711.jpg
14,5707,,training/c/closet/ADE_train_00005707.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/closet/ADE_train_00005707.jpg
15,2629,,training/b/bathroom/ADE_train_00002629.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002629.jpg
16,2887,,training/b/bathroom/ADE_train_00002887.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002887.jpg
17,4456,,training/b/bow_window/indoor/ADE_train_00004456.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bow_window/indoor/ADE_train_00004456.jpg
18,101306,,validation/d/dining_room/ADE_val_00001306.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/d/dining_room/ADE_val_00001306.jpg
